Наименование, Количество, Цена в BUSD, Цена в руб., Цена в BTC, Общая стоимоость в BUSD, Общая стоимоость в руб., Общая стоимоость в BTC, Средняя цена, Прибыль в BUSD, Прибыль в %
LTC, 0.49001, 150.59, 11012.706935999999, 0.003426, 73.7906059, 5396.33652570936, 0.00167877426, 73.8085789081886, -0.01797300818859071, -0.02435083895999076%
BNB, 0.15391141, 345.77, 25286.298407999995, 0.007869, 53.2179482357, 3891.849841656035, 0.0012111288852899998, 53.30046043811091, -0.08251220241091062, -0.1548057966717164%
LINK, 1.0, 23.559, 1722.8790936, 0.00053623, 23.559, 1722.8790936, 0.00053623, 23.60155211, -0.04255210999999903, -0.1802936934048912%
XRP, 414.69273, 0.7851, 57.414677039999994, 1.787e-05, 325.575262323, 23809.449163785917, 0.0074105590851, 326.25425531753814, -0.6789929945381346, -0.20811774359150698%
ADA, 212.33656195, 1.4474, 105.84894096, 3.294e-05, 307.33593976643, 22475.60020949493, 0.006994366350633, 307.79126367304747, -0.4553239066174797, -0.14793269347019197%
HOT, 1815.0, 0.00826, 0.6040571039999999, 2e-08, 14.9919, 1096.3636437599998, 3.63e-05, 15.035659650000001, -0.043759650000001926, -0.2910391098138612%
VET, 1070.0, 0.10259, 7.502447736, 2.33e-06, 109.7713, 8027.619077519999, 0.0024931000000000003, 109.9073933, -0.13609329999999886, -0.12382542785681631%
BAND, 1.24875, 7.164, 523.9061856, 0.00016318, 8.946045, 654.2278492679999, 0.000203771025, 8.9633676724875, -0.017322672487500412, -0.1932607600229463%
KAVA, 10.09123, 5.785, 423.05936399999996, 0.00013093, 58.37776555, 4269.18934577772, 0.0013212447438999998, 58.2909888431594, 0.08677670684060246, 0.1488681330730006%
SOL, 3.377, 37.715, 2758.113036, 0.00085702, 127.363555, 9314.147722572, 0.0028941565399999997, 127.51283687218998, -0.1492818721899738, -0.11707203435494387%
LUNA, 12.007023, 13.511, 988.0648343999999, 0.00030746, 162.226887753, 11863.71719213199, 0.0036916792915800004, 162.5694980684057, -0.3426103154056932, -0.21074698481355356%
BAR, 0.447, 23.601, 1725.9505703999998, 0.0005369, 10.549647, 771.4999049687999, 0.0002399943, 10.55619444591, -0.006547445909999894, -0.062024680802812454%
Итог:, -, -, -, -, 1275.70585652813, 93292.87957024475, 0.028711304481503, 1277.5920492990376, -1.8861927709076802, Потом посчитаю
